"air_temperature","sea_temperature","station"
7.188,9.294,M2
6.992,9.272,M2
7.383,9.258,M2
7.725,9.256,M2
8.066,9.256,M2
8.311,9.269,M2
8.506,9.287,M2
8.457,9.296,M2
8.701,9.305,M2
8.701,9.298,M2
8.75,9.3,M2
8.799,9.302,M2
8.994,9.296,M2
8.896,9.287,M2
8.652,9.28,M2
8.994,9.271,M2
8.799,9.272,M2
9.189,9.28,M2
8.994,9.291,M2
8.799,9.298,M2
8.848,9.302,M2
8.799,9.307,M2
8.945,9.311,M2
9.141,9.311,M2
9.238,9.307,M2
9.482,9.311,M2
9.678,9.309,M2
9.971,9.302,M2
9.58,9.309,M2
9.971,9.313,M2
10.117,9.315,M2
10.215,9.315,M2
9.824,9.327,M2
9.727,9.32,M2
9.482,9.326,M2
9.434,9.318,M2
9.482,9.313,M2
9.141,9.316,M2
9.385,9.311,M2
9.385,9.302,M2
9.287,9.296,M2
9.238,9.282,M2
9.043,9.294,M2
9.238,9.302,M2
9.824,9.315,M2
9.58,9.318,M2
9.092,9.32,M2
9.238,9.333,M2
9.678,9.324,M2
9.775,9.316,M2
8.994,9.326,M2
8.896,9.333,M2
8.359,9.311,M2
8.457,9.269,M2
8.457,9.265,M2
8.359,9.296,M2
8.164,9.3,M2
8.115,9.294,M2
7.383,9.293,M2
6.992,9.296,M2
6.797,9.296,M2
6.797,9.296,M2
6.992,9.285,M2
6.992,9.282,M2
6.846,9.291,M2
6.699,9.274,M2
6.748,9.272,M2
6.943,9.278,M2
7.139,9.272,M2
7.578,9.287,M2
7.676,9.324,M2
7.529,9.373,M2
7.627,9.355,M2
7.773,9.357,M2
8.018,9.302,M2
8.164,9.272,M2
8.018,9.269,M2
8.506,9.265,M2
7.871,9.256,M2
7.969,9.249,M2
7.773,9.25,M2
7.383,9.267,M2
7.236,9.278,M2
7.432,9.316,M2
7.773,9.333,M2
7.822,9.324,M2
8.164,9.293,M2
8.311,9.252,M2
8.604,9.234,M2
8.994,9.236,M2
9.434,9.232,M2
10.117,9.232,M2
9.629,9.24,M2
8.457,9.382,M2
8.408,9.393,M2
8.555,9.375,M2
8.506,9.348,M2
8.701,9.3,M2
8.994,9.247,M2
9.238,9.225,M2
8.311,9.212,M2
8.994,9.216,M2
8.701,9.241,M2
8.799,9.294,M2
9.092,9.353,M2
9.434,9.395,M2
9.922,9.401,M2
12.021,9.377,M2
11.729,9.359,M2
11.777,9.294,M2
11.826,9.249,M2
11.729,9.238,M2
11.582,9.234,M2
11.484,9.247,M2
11.436,9.287,M2
11.68,9.359,M2
12.168,9.445,M2
12.461,9.459,M2
12.705,9.459,M2
12.314,9.47,M2
12.656,9.43,M2
11.289,9.355,M2
11.436,9.307,M2
11.289,9.261,M2
11.387,9.252,M2
10.361,9.254,M2
9.873,9.285,M2
9.482,9.373,M2
9.287,9.43,M2
8.799,9.434,M2
8.457,9.434,M2
8.213,9.432,M2
8.115,9.41,M2
8.164,9.333,M2
8.066,9.258,M2
7.432,9.207,M2
6.797,9.199,M2
7.236,9.203,M2
7.676,9.247,M2
7.92,9.311,M2
6.846,9.39,M2
5.381,9.402,M2
5.43,9.397,M2
5.771,9.359,M2
5.381,9.285,M2
5.381,9.201,M2
7.383,9.17,M2
7.969,9.17,M2
7.822,9.164,M2
8.213,9.164,M2
8.311,9.185,M2
7.139,9.236,M2
6.65,9.304,M2
6.016,9.338,M2
6.357,9.357,M2
6.211,9.335,M2
8.311,9.294,M2
9.58,9.236,M2
8.945,9.186,M2
8.555,9.166,M2
7.041,9.159,M2
7.432,9.19,M2
7.725,9.261,M2
7.48,9.338,M2
5.088,9.373,M2
5.479,9.408,M2
5.82,9.434,M2
4.844,9.408,M2
6.016,9.37,M2
5.918,9.309,M2
5.088,9.241,M2
5.088,9.177,M2
4.746,9.152,M2
5.137,9.155,M2
4.941,9.183,M2
5.186,9.245,M2
5.381,9.32,M2
5.234,9.359,M2
5.234,9.371,M2
5.527,9.359,M2
5.869,9.324,M2
5.723,9.254,M2
5.43,9.177,M2
5.82,9.12,M2
6.016,9.086,M2
5.674,9.088,M2
6.455,9.097,M2
7.627,9.196,M2
7.871,9.305,M2
5.625,9.368,M2
4.795,9.39,M2
4.893,9.375,M2
5.527,9.359,M2
5.43,9.309,M2
6.016,9.247,M2
7.871,9.161,M2
7.969,9.128,M2
8.018,9.111,M2
8.506,9.148,M2
9.043,9.232,M2
10.361,9.322,M2
11.094,9.377,M2
11.24,9.415,M2
11.338,9.428,M2
11.387,9.408,M2
11.045,9.375,M2
11.387,9.296,M2
11.24,9.24,M2
10.85,9.218,M2
11.289,9.203,M2
11.191,9.221,M2
9.678,9.478,M2
9.141,9.456,M2
8.506,9.402,M2
7.48,9.276,M2
6.504,9.219,M2
5.918,9.174,M2
5.479,9.142,M2
4.99,9.124,M2
5.186,9.146,M2
5.479,9.201,M2
5.527,9.252,M2
5.869,9.287,M2
6.602,9.293,M2
7.285,9.271,M2
7.432,9.216,M2
7.578,9.146,M2
7.578,9.064,M2
7.92,9.011,M2
8.115,8.981,M2
8.506,8.897,M2
8.994,8.903,M2
9.238,8.994,M2
9.482,9.02,M2
9.629,9.053,M2
9.678,9.08,M2
9.629,9.066,M2
9.629,9.029,M2
9.482,8.99,M2
9.385,8.884,M2
9.238,8.884,M2
9.189,8.888,M2
9.092,8.886,M2
9.043,8.882,M2
8.994,8.881,M2
9.092,8.881,M2
9.385,8.882,M2
9.971,9.003,M2
10.508,9.009,M2
10.117,9.001,M2
10.117,8.987,M2
9.971,8.93,M2
10.02,8.884,M2
8.311,8.881,M2
8.652,8.881,M2
8.555,8.884,M2
8.652,8.886,M2
8.75,8.901,M2
8.945,8.99,M2
9.336,9.056,M2
9.58,9.082,M2
9.434,9.082,M2
9.531,9.033,M2
9.092,8.959,M2
8.994,8.882,M2
8.604,8.881,M2
8.311,8.882,M2
8.164,8.877,M2
8.359,8.881,M2
8.701,8.875,M2
8.652,8.881,M2
8.408,8.895,M2
8.408,8.937,M2
8.555,8.95,M2
8.604,8.917,M2
8.701,8.871,M2
8.75,8.86,M2
8.896,8.864,M2
8.994,8.87,M2
9.043,8.877,M2
9.092,8.881,M2
9.531,8.879,M2
9.434,8.884,M2
10.068,8.886,M2
9.678,8.934,M2
9.971,8.947,M2
9.58,8.939,M2
7.627,8.87,M2
6.602,8.871,M2
6.455,8.877,M2
6.406,8.864,M2
6.504,8.864,M2
6.113,8.86,M2
