"air_temperature","sea_temperature","station"
10.068,11.135,M3
10.215,11.131,M3
9.238,11.14,M3
9.238,11.124,M3
9.043,11.127,M3
8.945,11.1,M3
8.604,11.091,M3
7.969,11.085,M3
7.334,11.104,M3
7.48,11.136,M3
7.139,11.195,M3
7.773,11.212,M3
8.066,11.208,M3
7.773,11.155,M3
8.262,11.136,M3
6.748,11.169,M3
7.041,11.195,M3
7.48,11.177,M3
7.041,11.133,M3
7.725,11.089,M3
7.822,11.076,M3
8.018,11.074,M3
8.066,11.083,M3
8.311,11.102,M3
8.457,11.122,M3
7.871,11.14,M3
7.773,11.129,M3
7.871,11.136,M3
7.773,11.116,M3
7.725,11.118,M3
7.822,11.105,M3
7.871,11.122,M3
8.115,11.184,M3
8.262,11.202,M3
8.115,11.217,M3
8.213,11.197,M3
8.359,11.201,M3
8.457,11.213,M3
8.604,11.204,M3
8.652,11.164,M3
8.701,11.175,M3
8.896,11.186,M3
9.092,11.157,M3
8.994,11.091,M3
9.141,11.085,M3
9.092,11.14,M3
9.238,11.217,M3
9.336,11.191,M3
9.434,11.169,M3
9.629,11.173,M3
9.873,11.21,M3
10.117,11.223,M3
10.264,11.239,M3
9.873,11.224,M3
10.313,11.199,M3
10.264,11.155,M3
10.508,11.071,M3
10.557,11.016,M3
10.947,11.014,M3
10.85,11.027,M3
11.094,11.045,M3
10.654,11.049,M3
11.338,11.102,M3
11.143,11.14,M3
10.264,11.118,M3
10.459,11.155,M3
10.313,11.219,M3
10.117,11.241,M3
8.457,11.239,M3
9.58,11.219,M3
9.287,11.215,M3
7.725,11.201,M3
7.773,11.177,M3
8.066,11.162,M3
8.848,11.078,M3
7.383,11.089,M3
7.041,11.098,M3
8.066,11.135,M3
7.627,11.144,M3
7.871,11.124,M3
8.457,11.063,M3
8.115,11.023,M3
9.043,11.028,M3
9.336,11.049,M3
7.871,11.131,M3
7.773,11.151,M3
9.043,11.124,M3
9.434,11.188,M3
11.484,11.133,M3
11.484,11.142,M3
11.338,11.157,M3
11.631,11.158,M3
11.729,11.164,M3
11.484,11.14,M3
11.729,11.125,M3
11.924,11.133,M3
11.289,11.122,M3
11.533,11.127,M3
11.631,11.136,M3
11.68,11.147,M3
11.729,11.155,M3
12.363,11.171,M3
11.387,11.184,M3
11.533,11.224,M3
10.557,11.266,M3
8.994,11.334,M3
8.262,11.393,M3
9.531,11.406,M3
9.141,11.387,M3
9.141,11.338,M3
8.359,11.312,M3
8.604,11.288,M3
8.457,11.255,M3
9.189,11.25,M3
9.531,11.215,M3
9.482,11.212,M3
9.727,11.204,M3
9.238,11.208,M3
9.971,11.219,M3
9.824,11.235,M3
10.117,11.254,M3
9.873,11.272,M3
10.117,11.274,M3
10.313,11.261,M3
10.459,11.255,M3
10.605,11.248,M3
10.703,11.254,M3
10.508,11.255,M3
10.752,11.31,M3
10.605,11.338,M3
10.801,11.376,M3
10.898,11.428,M3
10.996,11.451,M3
12.266,11.462,M3
12.363,11.461,M3
12.656,11.459,M3
12.607,11.459,M3
12.607,11.457,M3
12.461,11.457,M3
12.51,11.457,M3
12.51,11.455,M3
12.51,11.455,M3
12.363,11.455,M3
12.363,11.457,M3
12.559,11.457,M3
12.314,11.459,M3
12.217,11.459,M3
12.412,11.457,M3
11.973,11.457,M3
12.168,11.453,M3
12.266,11.451,M3
12.363,11.453,M3
12.461,11.453,M3
12.412,11.448,M3
12.51,11.461,M3
12.461,11.468,M3
12.51,11.472,M3
