"daily_precipitation","daily_duration","year","month","day"
282.004,21.1000,2021,12,8
281.059,20.8500,2021,12,7
210.037,23.4500,2022,2,21
209.038,23.2000,2022,2,20
148.722,13.4167,2022,11,3
148.594,13.3000,2022,11,2
106.668,14.8667,2022,2,19
106.668,14.8333,2022,2,18
78.1574,15.7500,2022,11,23
78.1574,15.7500,2022,11,24
74.0787,15.0000,2023,3,9
74.0787,15.0000,2023,3,10
71.2633,15.0500,2021,12,9
68.146,7.9500,2022,10,15
61.6749,10.2333,2022,11,25
59.0501,13.1667,2022,12,30
59.0501,9.8833,2022,12,31
58.5084,13.5333,2022,11,22
58.4433,13.3667,2022,11,21
58.3676,7.6333,2022,2,22
54.4245,12.4833,2023,3,24
54.4245,12.4833,2023,3,25
53.7636,13.6167,2023,3,22
53.4042,13.5333,2023,3,21
48.4841,16.0167,2022,1,7
48.3851,15.5833,2022,1,6
46.9451,5.5500,2022,12,23
46.9451,5.5500,2022,12,24
46.9444,15.6500,2022,6,24
46.3288,13.0833,2022,12,29
44.6343,11.1833,2022,12,20
44.6343,11.1833,2022,12,21
43.4871,9.9500,2022,10,17
42.3895,5.9500,2022,10,21
41.3888,9.6333,2022,3,9
41.3888,9.6333,2022,3,10
39.0307,13.7500,2022,2,25
39.0187,6.6667,2022,3,13
38.9283,13.7500,2022,2,24
38.834,6.4167,2022,3,12
37.984,5.8500,2023,3,23
37.7619,12.4500,2022,4,6
37.3642,7.0667,2022,11,7
37.3642,7.0667,2022,11,8
34.7102,13.3000,2022,6,25
33.5622,6.9167,2022,9,22
32.4566,10.3333,2022,10,4
32.0626,1.4500,2022,11,28
31.7813,1.3500,2022,11,27
31.6944,13.2667,2022,2,16
31.6944,8.6167,2022,2,15
31.3922,5.5000,2022,11,20
31.1293,6.4667,2021,12,6
31.0575,13.2667,2022,2,17
30.0286,4.5833,2022,10,29
29.9155,13.1000,2022,1,9
29.8595,12.8833,2022,1,8
29.5743,3.8667,2022,10,7
29.4633,8.7167,2022,10,5
29.006,9.9833,2021,12,1
28.9256,6.6333,2021,11,30
28.6223,7.2167,2022,6,27
28.5631,6.3333,2022,9,11
28.1457,5.2500,2022,4,17
27.7004,2.2667,2022,5,20
27.1437,10.0000,2022,12,28
27.0289,7.7667,2021,12,26
27.0289,7.6667,2021,12,25
26.7012,3.7167,2022,11,4
26.6212,6.9167,2022,9,30
26.1663,12.9833,2022,2,6
25.8373,12.6500,2022,2,5
25.1332,8.8500,2022,11,1
24.8875,3.2167,2022,5,18
24.5344,2.8500,2022,11,18
24.5344,2.3000,2022,11,19
24.1451,8.8500,2022,10,31
23.9841,3.5667,2022,9,4
23.9709,9.8167,2023,1,10
23.7762,9.7333,2023,1,9
23.6437,4.8500,2023,2,15
23.6437,4.8500,2023,2,16
23.4128,8.1333,2021,12,23
23.3006,7.4667,2021,12,22
22.8522,9.9833,2021,12,2
22.0556,7.5333,2022,7,30
21.7379,7.3667,2022,2,3
21.7379,7.3667,2022,2,4
21.5663,3.5500,2022,11,9
21.5414,7.2167,2022,3,8
21.4583,15.6500,2023,3,16
21.4421,15.6500,2023,3,15
21.3453,3.4167,2022,12,25
21.3453,3.4167,2022,12,26
21.3253,2.5000,2022,9,2
21.2737,13.4500,2021,11,27
21.2737,13.2333,2021,11,26
20.6532,5.2000,2022,10,19
20.5884,4.1667,2021,12,10
20.3104,7.3333,2022,5,6
20.0673,8.0167,2022,8,1
19.7179,7.0667,2021,12,29
19.6666,6.2667,2021,12,4
19.6666,6.2667,2021,12,5
19.3296,4.0167,2021,12,28
19.0445,3.5333,2022,9,3
19.0319,2.1167,2023,3,17
19.0319,2.1167,2023,3,18
18.9213,10.0333,2022,2,23
18.4481,4.3000,2023,1,8
18.4481,4.2167,2023,1,7
18.3677,4.3500,2023,1,14
18.3677,4.3500,2023,1,15
18.0391,6.0000,2022,3,11
17.9974,2.4167,2023,1,18
17.9974,2.0667,2023,1,17
17.7149,4.6333,2022,10,9
17.4259,7.3333,2021,12,30
16.974,11.4333,2023,1,4
16.9688,11.3833,2023,1,3
16.9165,3.9167,2022,10,23
15.6334,5.4000,2022,12,19
