"temperature","feels_like","humidity","time","location","outside_temperature","outside_feels_like","outside_humidity"
16.0,15.4,67.0,"2023-01-06 00:00:00",MR,9.0,7.6,79.0
15.0,14.33,68.0,"2023-01-06 00:00:00",KR,9.0,7.6,79.0
16.0,15.95,88.0,"2023-01-06 00:00:00",FR,9.0,7.6,79.0
16.0,15.4,67.0,"2023-01-06 00:05:00",MR,9.0,6.4,79.0
15.0,14.33,68.0,"2023-01-06 00:05:00",KR,9.0,6.4,79.0
16.0,15.95,88.0,"2023-01-06 00:05:00",FR,9.0,6.4,79.0
16.0,15.4,67.0,"2023-01-06 00:10:00",MR,9.0,6.7,78.0
15.0,14.33,68.0,"2023-01-06 00:10:00",KR,9.0,6.7,78.0
16.0,15.95,88.0,"2023-01-06 00:10:00",FR,9.0,6.7,78.0
16.0,15.4,67.0,"2023-01-06 00:15:00",MR,9.0,7.5,78.0
15.0,14.36,69.0,"2023-01-06 00:15:00",KR,9.0,7.5,78.0
16.0,15.98,89.0,"2023-01-06 00:15:00",FR,9.0,7.5,78.0
16.0,15.4,67.0,"2023-01-06 00:20:00",MR,8.9,6.8,79.0
15.0,14.36,69.0,"2023-01-06 00:20:00",KR,8.9,6.8,79.0
16.0,15.98,89.0,"2023-01-06 00:20:00",FR,8.9,6.8,79.0
16.0,15.4,67.0,"2023-01-06 00:25:00",MR,8.8,6.6,78.0
15.0,14.36,69.0,"2023-01-06 00:25:00",KR,8.8,6.6,78.0
16.0,15.98,89.0,"2023-01-06 00:25:00",FR,8.8,6.6,78.0
16.0,15.4,67.0,"2023-01-06 00:30:00",MR,8.7,5.7,77.0
15.0,14.36,69.0,"2023-01-06 00:30:00",KR,8.7,5.7,77.0
16.0,15.98,89.0,"2023-01-06 00:30:00",FR,8.7,5.7,77.0
16.0,15.4,67.0,"2023-01-06 00:35:00",MR,8.7,5.7,76.0
15.0,14.36,69.0,"2023-01-06 00:35:00",KR,8.7,5.7,76.0
16.0,15.98,89.0,"2023-01-06 00:35:00",FR,8.7,5.7,76.0
16.0,15.4,67.0,"2023-01-06 00:40:00",MR,8.7,6.2,77.0
15.0,14.36,69.0,"2023-01-06 00:40:00",KR,8.7,6.2,77.0
16.0,15.95,88.0,"2023-01-06 00:40:00",FR,8.7,6.2,77.0
16.0,15.4,67.0,"2023-01-06 00:45:00",MR,8.6,6.5,77.0
15.0,14.36,69.0,"2023-01-06 00:45:00",KR,8.6,6.5,77.0
16.0,15.98,89.0,"2023-01-06 00:45:00",FR,8.6,6.5,77.0
16.0,15.4,67.0,"2023-01-06 00:50:00",MR,8.6,6.3,76.0
15.0,14.36,69.0,"2023-01-06 00:50:00",KR,8.6,6.3,76.0
16.0,15.95,88.0,"2023-01-06 00:50:00",FR,8.6,6.3,76.0
16.0,15.4,67.0,"2023-01-06 00:55:00",MR,8.6,6.5,78.0
15.0,14.36,69.0,"2023-01-06 00:55:00",KR,8.6,6.5,78.0
16.0,15.98,89.0,"2023-01-06 00:55:00",FR,8.6,6.5,78.0
16.0,15.4,67.0,"2023-01-06 01:00:00",MR,8.6,6.4,78.0
15.0,14.36,69.0,"2023-01-06 01:00:00",KR,8.6,6.4,78.0
16.0,15.98,89.0,"2023-01-06 01:00:00",FR,8.6,6.4,78.0
16.0,15.4,67.0,"2023-01-06 01:05:00",MR,8.7,7.1,78.0
15.0,14.36,69.0,"2023-01-06 01:05:00",KR,8.7,7.1,78.0
16.0,15.98,89.0,"2023-01-06 01:05:00",FR,8.7,7.1,78.0
16.0,15.4,67.0,"2023-01-06 01:10:00",MR,8.7,6.8,79.0
15.0,14.36,69.0,"2023-01-06 01:10:00",KR,8.7,6.8,79.0
16.0,15.98,89.0,"2023-01-06 01:10:00",FR,8.7,6.8,79.0
16.0,15.4,67.0,"2023-01-06 01:15:00",MR,8.7,6.8,78.0
15.0,14.36,69.0,"2023-01-06 01:15:00",KR,8.7,6.8,78.0
16.0,15.98,89.0,"2023-01-06 01:15:00",FR,8.7,6.8,78.0
16.0,15.4,67.0,"2023-01-06 01:25:00",MR,8.7,6.9,78.0
15.0,14.36,69.0,"2023-01-06 01:25:00",KR,8.7,6.9,78.0
16.0,15.98,89.0,"2023-01-06 01:25:00",FR,8.7,6.9,78.0
16.0,15.4,67.0,"2023-01-06 01:30:00",MR,8.7,6.6,78.0
15.0,14.38,70.0,"2023-01-06 01:30:00",KR,8.7,6.6,78.0
16.0,16.01,90.0,"2023-01-06 01:30:00",FR,8.7,6.6,78.0
16.0,15.4,67.0,"2023-01-06 01:35:00",MR,8.6,7.4,79.0
15.0,14.38,70.0,"2023-01-06 01:35:00",KR,8.6,7.4,79.0
16.0,16.01,90.0,"2023-01-06 01:35:00",FR,8.6,7.4,79.0
16.0,15.4,67.0,"2023-01-06 01:40:00",MR,8.6,6.3,79.0
15.0,14.36,69.0,"2023-01-06 01:40:00",KR,8.6,6.3,79.0
16.0,16.01,90.0,"2023-01-06 01:40:00",FR,8.6,6.3,79.0
16.0,15.4,67.0,"2023-01-06 01:45:00",MR,8.6,6.5,79.0
15.0,14.36,69.0,"2023-01-06 01:45:00",KR,8.6,6.5,79.0
16.0,16.01,90.0,"2023-01-06 01:45:00",FR,8.6,6.5,79.0
16.0,15.4,67.0,"2023-01-06 01:50:00",MR,8.6,6.7,80.0
15.0,14.38,70.0,"2023-01-06 01:50:00",KR,8.6,6.7,80.0
16.0,15.98,89.0,"2023-01-06 01:50:00",FR,8.6,6.7,80.0
16.0,15.4,67.0,"2023-01-06 01:55:00",MR,8.6,6.2,79.0
15.0,14.36,69.0,"2023-01-06 01:55:00",KR,8.6,6.2,79.0
16.0,16.01,90.0,"2023-01-06 01:55:00",FR,8.6,6.2,79.0
16.0,15.4,67.0,"2023-01-06 02:00:00",MR,8.5,6.0,79.0
15.0,14.36,69.0,"2023-01-06 02:00:00",KR,8.5,6.0,79.0
16.0,16.01,90.0,"2023-01-06 02:00:00",FR,8.5,6.0,79.0
16.0,15.4,67.0,"2023-01-06 02:05:00",MR,8.5,6.1,80.0
15.0,14.36,69.0,"2023-01-06 02:05:00",KR,8.5,6.1,80.0
16.0,16.01,90.0,"2023-01-06 02:05:00",FR,8.5,6.1,80.0
16.0,15.4,67.0,"2023-01-06 02:10:00",MR,8.5,6.6,79.0
15.0,14.36,69.0,"2023-01-06 02:10:00",KR,8.5,6.6,79.0
16.0,16.01,90.0,"2023-01-06 02:10:00",FR,8.5,6.6,79.0
16.0,15.4,67.0,"2023-01-06 02:15:00",MR,8.5,6.5,79.0
15.0,14.36,69.0,"2023-01-06 02:15:00",KR,8.5,6.5,79.0
16.0,16.01,90.0,"2023-01-06 02:15:00",FR,8.5,6.5,79.0
