"temperature","feels_like","humidity","time","location"
16.0,15.33,64.0,"2021-01-01 00:15:00",Master Room
19.0,17.43,18.0,"2021-01-01 00:15:00",Kids Room
21.0,19.6,17.0,"2021-01-01 00:15:00",Guest Room
22.0,21.98,66.0,"2021-01-01 00:15:00",Fernanda's Room
17.0,16.4,63.0,"2021-01-01 00:30:00",Master Room
19.0,17.43,18.0,"2021-01-01 00:30:00",Kids Room
21.0,19.6,17.0,"2021-01-01 00:30:00",Guest Room
22.0,21.98,66.0,"2021-01-01 00:30:00",Fernanda's Room
17.0,16.43,64.0,"2021-01-01 00:45:00",Master Room
19.0,17.43,18.0,"2021-01-01 00:45:00",Kids Room
21.0,19.6,17.0,"2021-01-01 00:45:00",Guest Room
22.0,21.98,66.0,"2021-01-01 00:45:00",Fernanda's Room
17.0,16.43,64.0,"2021-01-01 01:00:00",Master Room
19.0,17.43,18.0,"2021-01-01 01:00:00",Kids Room
21.0,19.6,17.0,"2021-01-01 01:00:00",Guest Room
23.0,23.05,65.0,"2021-01-01 01:00:00",Fernanda's Room
17.0,16.4,63.0,"2021-01-01 01:15:00",Master Room
19.0,17.43,18.0,"2021-01-01 01:15:00",Kids Room
21.0,19.6,17.0,"2021-01-01 01:15:00",Guest Room
23.0,23.05,65.0,"2021-01-01 01:15:00",Fernanda's Room
17.0,16.4,63.0,"2021-01-01 01:30:00",Master Room
20.0,18.53,18.0,"2021-01-01 01:30:00",Kids Room
21.0,19.6,17.0,"2021-01-01 01:30:00",Guest Room
23.0,23.05,65.0,"2021-01-01 01:30:00",Fernanda's Room
17.0,16.4,63.0,"2021-01-01 01:45:00",Master Room
19.0,17.43,18.0,"2021-01-01 01:45:00",Kids Room
21.0,19.6,17.0,"2021-01-01 01:45:00",Guest Room
22.0,21.95,65.0,"2021-01-01 01:45:00",Fernanda's Room
17.0,16.4,63.0,"2021-01-01 02:00:00",Master Room
20.0,18.53,18.0,"2021-01-01 02:00:00",Kids Room
21.0,19.6,17.0,"2021-01-01 02:00:00",Guest Room
23.0,23.05,65.0,"2021-01-01 02:00:00",Fernanda's Room
17.0,16.4,63.0,"2021-01-01 02:15:00",Master Room
19.0,17.43,18.0,"2021-01-01 02:15:00",Kids Room
21.0,19.6,17.0,"2021-01-01 02:15:00",Guest Room
23.0,23.03,64.0,"2021-01-01 02:15:00",Fernanda's Room
17.0,16.37,62.0,"2021-01-01 02:30:00",Master Room
20.0,18.53,18.0,"2021-01-01 02:30:00",Kids Room
21.0,19.6,17.0,"2021-01-01 02:30:00",Guest Room
23.0,23.03,64.0,"2021-01-01 02:30:00",Fernanda's Room
17.0,16.37,62.0,"2021-01-01 02:45:00",Master Room
20.0,18.53,18.0,"2021-01-01 02:45:00",Kids Room
21.0,19.6,17.0,"2021-01-01 02:45:00",Guest Room
