"temperature","feels_like","humidity","time","location","outside_temperature","outside_feels_like","outside_humidity"
16.0,15.56,73.0,"2023-01-01 11:30:00",MR,5.7,5.7,96.0
14.0,13.26,69.0,"2023-01-01 11:30:00",KR,5.7,5.7,96.0
16.0,16.06,92.0,"2023-01-01 11:30:00",FR,5.7,5.7,96.0
16.0,15.56,73.0,"2023-01-01 11:35:00",MR,6.0,6.0,96.0
14.0,13.23,68.0,"2023-01-01 11:35:00",KR,6.0,6.0,96.0
16.0,16.06,92.0,"2023-01-01 11:35:00",FR,6.0,6.0,96.0
16.0,15.54,72.0,"2023-01-01 11:40:00",MR,6.2,6.2,96.0
14.0,13.23,68.0,"2023-01-01 11:40:00",KR,6.2,6.2,96.0
16.0,16.06,92.0,"2023-01-01 11:40:00",FR,6.2,6.2,96.0
16.0,15.56,73.0,"2023-01-01 11:45:00",MR,6.3,5.4,96.0
14.0,13.23,68.0,"2023-01-01 11:45:00",KR,6.3,5.4,96.0
16.0,16.06,92.0,"2023-01-01 11:45:00",FR,6.3,5.4,96.0
16.0,15.54,72.0,"2023-01-01 11:50:00",MR,6.2,6.2,96.0
14.0,13.23,68.0,"2023-01-01 11:50:00",KR,6.2,6.2,96.0
16.0,16.06,92.0,"2023-01-01 11:50:00",FR,6.2,6.2,96.0
16.0,15.56,73.0,"2023-01-01 11:55:00",MR,6.3,6.3,96.0
14.0,13.23,68.0,"2023-01-01 11:55:00",KR,6.3,6.3,96.0
16.0,16.06,92.0,"2023-01-01 11:55:00",FR,6.3,6.3,96.0
16.0,15.56,73.0,"2023-01-01 12:00:00",MR,6.4,6.4,96.0
14.0,13.23,68.0,"2023-01-01 12:00:00",KR,6.4,6.4,96.0
16.0,16.06,92.0,"2023-01-01 12:00:00",FR,6.4,6.4,96.0
16.0,15.59,74.0,"2023-01-01 12:05:00",MR,6.6,6.6,95.0
14.0,13.26,69.0,"2023-01-01 12:05:00",KR,6.6,6.6,95.0
16.0,16.06,92.0,"2023-01-01 12:05:00",FR,6.6,6.6,95.0
16.0,15.56,73.0,"2023-01-01 12:10:00",MR,6.8,6.8,95.0
14.0,13.26,69.0,"2023-01-01 12:10:00",KR,6.8,6.8,95.0
16.0,16.06,92.0,"2023-01-01 12:10:00",FR,6.8,6.8,95.0
16.0,15.56,73.0,"2023-01-01 12:15:00",MR,6.8,6.8,95.0
14.0,13.26,69.0,"2023-01-01 12:15:00",KR,6.8,6.8,95.0
16.0,16.06,92.0,"2023-01-01 12:15:00",FR,6.8,6.8,95.0
16.0,15.56,73.0,"2023-01-01 12:20:00",MR,6.7,6.7,94.0
14.0,13.26,69.0,"2023-01-01 12:20:00",KR,6.7,6.7,94.0
16.0,16.06,92.0,"2023-01-01 12:20:00",FR,6.7,6.7,94.0
16.0,15.56,73.0,"2023-01-01 12:25:00",MR,6.8,6.8,94.0
14.0,13.26,69.0,"2023-01-01 12:25:00",KR,6.8,6.8,94.0
16.0,16.06,92.0,"2023-01-01 12:25:00",FR,6.8,6.8,94.0
16.0,15.56,73.0,"2023-01-01 12:30:00",MR,7.1,7.1,94.0
14.0,13.26,69.0,"2023-01-01 12:30:00",KR,7.1,7.1,94.0
16.0,16.06,92.0,"2023-01-01 12:30:00",FR,7.1,7.1,94.0
16.0,15.56,73.0,"2023-01-01 12:35:00",MR,7.3,7.3,93.0
14.0,13.26,69.0,"2023-01-01 12:35:00",KR,7.3,7.3,93.0
16.0,16.06,92.0,"2023-01-01 12:35:00",FR,7.3,7.3,93.0
16.0,15.56,73.0,"2023-01-01 12:40:00",MR,7.5,7.5,93.0
14.0,13.26,69.0,"2023-01-01 12:40:00",KR,7.5,7.5,93.0
16.0,16.06,92.0,"2023-01-01 12:40:00",FR,7.5,7.5,93.0
16.0,15.59,74.0,"2023-01-01 12:45:00",MR,7.5,7.5,92.0
14.0,13.26,69.0,"2023-01-01 12:45:00",KR,7.5,7.5,92.0
16.0,16.06,92.0,"2023-01-01 12:45:00",FR,7.5,7.5,92.0
16.0,15.59,74.0,"2023-01-01 12:50:00",MR,7.8,7.8,90.0
14.0,13.26,69.0,"2023-01-01 12:50:00",KR,7.8,7.8,90.0
16.0,16.06,92.0,"2023-01-01 12:50:00",FR,7.8,7.8,90.0
16.0,15.59,74.0,"2023-01-01 12:55:00",MR,7.8,7.8,88.0
14.0,13.26,69.0,"2023-01-01 12:55:00",KR,7.8,7.8,88.0
16.0,16.06,92.0,"2023-01-01 12:55:00",FR,7.8,7.8,88.0
16.0,15.61,75.0,"2023-01-01 13:00:00",MR,7.7,7.7,87.0
14.0,13.26,69.0,"2023-01-01 13:00:00",KR,7.7,7.7,87.0
16.0,16.06,92.0,"2023-01-01 13:00:00",FR,7.7,7.7,87.0
16.0,15.59,74.0,"2023-01-01 13:05:00",MR,7.6,7.6,86.0
14.0,13.26,69.0,"2023-01-01 13:05:00",KR,7.6,7.6,86.0
16.0,16.06,92.0,"2023-01-01 13:05:00",FR,7.6,7.6,86.0
16.0,15.59,74.0,"2023-01-01 13:10:00",MR,7.5,7.5,86.0
15.0,14.36,69.0,"2023-01-01 13:10:00",KR,7.5,7.5,86.0
16.0,16.06,92.0,"2023-01-01 13:10:00",FR,7.5,7.5,86.0
16.0,15.59,74.0,"2023-01-01 13:15:00",MR,7.4,7.4,86.0
14.0,13.26,69.0,"2023-01-01 13:15:00",KR,7.4,7.4,86.0
16.0,15.59,74.0,"2023-01-01 13:20:00",MR,7.4,7.4,86.0
14.0,13.26,69.0,"2023-01-01 13:20:00",KR,7.4,7.4,86.0
16.0,15.59,74.0,"2023-01-01 13:25:00",MR,7.5,7.5,86.0
15.0,14.36,69.0,"2023-01-01 13:25:00",KR,7.5,7.5,86.0
17.0,17.16,92.0,"2023-01-01 13:25:00",FR,7.5,7.5,86.0
16.0,15.59,74.0,"2023-01-01 13:30:00",MR,7.7,7.7,86.0
15.0,14.36,69.0,"2023-01-01 13:30:00",KR,7.7,7.7,86.0
17.0,17.16,92.0,"2023-01-01 13:30:00",FR,7.7,7.7,86.0
16.0,15.59,74.0,"2023-01-01 13:35:00",MR,7.6,7.6,84.0
15.0,14.36,69.0,"2023-01-01 13:35:00",KR,7.6,7.6,84.0
17.0,17.16,92.0,"2023-01-01 13:35:00",FR,7.6,7.6,84.0
16.0,15.59,74.0,"2023-01-01 13:40:00",MR,7.4,7.4,82.0
15.0,14.36,69.0,"2023-01-01 13:40:00",KR,7.4,7.4,82.0
17.0,17.16,92.0,"2023-01-01 13:40:00",FR,7.4,7.4,82.0
16.0,15.59,74.0,"2023-01-01 13:45:00",MR,7.4,7.4,82.0
16.0,15.46,69.0,"2023-01-01 13:45:00",KR,7.4,7.4,82.0
17.0,17.16,92.0,"2023-01-01 13:45:00",FR,7.4,7.4,82.0
16.0,15.59,74.0,"2023-01-01 13:50:00",MR,7.6,7.6,82.0
16.0,15.43,68.0,"2023-01-01 13:50:00",KR,7.6,7.6,82.0
17.0,17.16,92.0,"2023-01-01 13:50:00",FR,7.6,7.6,82.0
16.0,15.59,74.0,"2023-01-01 13:55:00",MR,7.6,7.6,82.0
16.0,15.4,67.0,"2023-01-01 13:55:00",KR,7.6,7.6,82.0
17.0,17.16,92.0,"2023-01-01 13:55:00",FR,7.6,7.6,82.0
16.0,15.59,74.0,"2023-01-01 14:00:00",MR,7.7,7.7,81.0
16.0,15.4,67.0,"2023-01-01 14:00:00",KR,7.7,7.7,81.0
17.0,17.16,92.0,"2023-01-01 14:00:00",FR,7.7,7.7,81.0
16.0,15.59,74.0,"2023-01-01 14:05:00",MR,7.9,7.9,78.0
16.0,15.4,67.0,"2023-01-01 14:05:00",KR,7.9,7.9,78.0
17.0,17.16,92.0,"2023-01-01 14:05:00",FR,7.9,7.9,78.0
17.0,16.84,80.0,"2023-01-01 14:10:00",MR,8.0,8.0,77.0
16.0,15.4,67.0,"2023-01-01 14:10:00",KR,8.0,8.0,77.0
17.0,17.16,92.0,"2023-01-01 14:10:00",FR,8.0,8.0,77.0
17.0,16.9,82.0,"2023-01-01 14:15:00",MR,7.7,7.7,79.0
16.0,15.4,67.0,"2023-01-01 14:15:00",KR,7.7,7.7,79.0
17.0,17.16,92.0,"2023-01-01 14:15:00",FR,7.7,7.7,79.0
17.0,16.9,82.0,"2023-01-01 14:20:00",MR,7.5,7.5,80.0
16.0,15.4,67.0,"2023-01-01 14:20:00",KR,7.5,7.5,80.0
17.0,17.16,92.0,"2023-01-01 14:20:00",FR,7.5,7.5,80.0
17.0,16.9,82.0,"2023-01-01 14:25:00",MR,7.2,4.9,83.0
16.0,15.4,67.0,"2023-01-01 14:25:00",KR,7.2,4.9,83.0
